time,sdash,nstar,tempc,hrate,test_no,gammap
3.2,5.99,32372.0,70.01,10.0,1,7.85
3.98,5.823,31553.6,70.03,10.0,1,7.85
4.75,5.731,30994.5,70.06,10.0,1,7.85
5.53,5.662,30607.4,70.11,10.0,1,7.85
6.31,5.604,30303.2,70.19,10.0,1,7.85
7.09,5.556,30059.8,70.3,10.0,1,7.85
7.86,5.512,29841.2,70.42,10.0,1,7.85
8.64,5.47,29635.8,70.55,10.0,1,7.85
9.42,5.431,29434.7,70.69,10.0,1,7.85
10.2,5.397,29267.7,70.86,10.0,1,7.85
10.97,5.365,29106.7,71.01,10.0,1,7.85
11.75,5.337,28956.4,71.15,10.0,1,7.85
12.53,5.309,28807.7,71.29,10.0,1,7.85
13.3,5.285,28674.5,71.44,10.0,1,7.85
14.08,5.26,28556.4,71.57,10.0,1,7.85
14.86,5.235,28448.7,71.69,10.0,1,7.85
15.64,5.213,28348.0,71.82,10.0,1,7.85
16.41,5.192,28247.4,71.94,10.0,1,7.85
17.19,5.174,28155.5,72.05,10.0,1,7.85
17.97,5.154,28054.4,72.17,10.0,1,7.85
18.75,5.139,27977.6,72.3,10.0,1,7.85
19.52,5.12,27889.3,72.43,10.0,1,7.85
20.3,5.1,27793.5,72.55,10.0,1,7.85
21.08,5.081,27699.1,72.68,10.0,1,7.85
21.85,5.064,27618.5,72.84,10.0,1,7.85
22.63,5.047,27552.5,72.97,10.0,1,7.85
23.41,5.03,27482.9,73.1,10.0,1,7.85
24.19,5.013,27401.8,73.24,10.0,1,7.85
24.96,4.993,27299.7,73.39,10.0,1,7.85
25.74,4.976,27218.9,73.54,10.0,1,7.85
26.52,4.959,27144.6,73.67,10.0,1,7.85
27.3,4.94,27062.8,73.79,10.0,1,7.85
28.07,4.928,26993.7,73.93,10.0,1,7.85
28.85,4.914,26911.5,74.06,10.0,1,7.85
29.63,4.901,26833.5,74.19,10.0,1,7.85
30.4,4.888,26767.5,74.31,10.0,1,7.85
31.18,4.872,26695.9,74.45,10.0,1,7.85
31.96,4.855,26617.7,74.6,10.0,1,7.85
32.74,4.839,26547.6,74.73,10.0,1,7.85
33.51,4.822,26480.5,74.87,10.0,1,7.85
34.29,4.807,26411.1,75.01,10.0,1,7.85
35.07,4.791,26353.6,75.16,10.0,1,7.85
35.85,4.772,26271.4,75.29,10.0,1,7.85
36.62,4.758,26206.2,75.43,10.0,1,7.85
37.4,4.746,26138.5,75.55,10.0,1,7.85
38.18,4.734,26081.5,75.7,10.0,1,7.85
38.95,4.718,26019.1,75.83,10.0,1,7.85
39.73,4.701,25950.0,75.97,10.0,1,7.85
40.51,4.689,25885.5,76.08,10.0,1,7.85
41.29,4.677,25831.0,76.23,10.0,1,7.85
42.06,4.665,25774.5,76.36,10.0,1,7.85
42.84,4.648,25710.2,76.51,10.0,1,7.85
43.62,4.633,25643.6,76.62,10.0,1,7.85
44.4,4.616,25570.5,76.76,10.0,1,7.85
45.17,4.603,25509.1,76.9,10.0,1,7.85
45.95,4.589,25444.7,77.05,10.0,1,7.85
46.73,4.575,25384.3,77.18,10.0,1,7.85
47.5,4.561,25318.1,77.31,10.0,1,7.85
48.28,4.548,25255.7,77.44,10.0,1,7.85
49.06,4.535,25198.1,77.58,10.0,1,7.85
49.84,4.523,25139.1,77.71,10.0,1,7.85
50.61,4.508,25073.4,77.83,10.0,1,7.85
51.39,4.495,25015.5,77.96,10.0,1,7.85
52.17,4.48,24949.4,78.1,10.0,1,7.85
52.95,4.466,24886.7,78.24,10.0,1,7.85
53.72,4.453,24829.4,78.38,10.0,1,7.85
54.5,4.44,24771.2,78.51,10.0,1,7.85
55.28,4.428,24711.3,78.65,10.0,1,7.85
56.05,4.412,24641.9,78.8,10.0,1,7.85
56.83,4.398,24577.7,78.93,10.0,1,7.85
57.61,4.383,24522.2,79.06,10.0,1,7.85
58.39,4.37,24463.8,79.18,10.0,1,7.85
59.16,4.357,24403.1,79.32,10.0,1,7.85
59.94,4.344,24339.4,79.44,10.0,1,7.85
60.72,4.33,24271.2,79.58,10.0,1,7.85
61.5,4.315,24205.4,79.7,10.0,1,7.85
62.27,4.304,24152.4,79.84,10.0,1,7.85
63.05,4.288,24089.1,79.96,10.0,1,7.85
63.83,4.277,24021.7,80.11,10.0,1,7.85
64.6,4.264,23959.9,80.23,10.0,1,7.85
65.38,4.251,23899.5,80.38,10.0,1,7.85
66.16,4.235,23838.2,80.51,10.0,1,7.85
66.94,4.218,23767.8,80.67,10.0,1,7.85
67.71,4.206,23708.1,80.79,10.0,1,7.85
68.49,4.19,23654.6,80.93,10.0,1,7.85
69.27,4.176,23587.2,81.06,10.0,1,7.85
70.05,4.161,23523.0,81.2,10.0,1,7.85
70.82,4.15,23464.3,81.32,10.0,1,7.85
71.6,4.137,23401.3,81.45,10.0,1,7.85
72.38,4.123,23339.9,81.58,10.0,1,7.85
73.15,4.107,23270.4,81.72,10.0,1,7.85
73.93,4.097,23232.6,81.86,10.0,1,7.85
74.71,4.085,23190.1,81.99,10.0,1,7.85
75.49,4.072,23133.0,82.13,10.0,1,7.85
76.26,4.056,23058.2,82.26,10.0,1,7.85
77.04,4.044,23000.0,82.39,10.0,1,7.85
77.82,4.029,22954.7,82.53,10.0,1,7.85
78.6,4.013,22898.1,82.67,10.0,1,7.85
79.37,3.998,22832.3,82.8,10.0,1,7.85
80.15,3.986,22769.6,82.93,10.0,1,7.85
80.93,3.976,22719.9,83.07,10.0,1,7.85
81.71,3.959,22644.4,83.2,10.0,1,7.85
82.48,3.942,22567.7,83.32,10.0,1,7.85
83.26,3.927,22507.6,83.45,10.0,1,7.85
84.04,3.916,22457.4,83.6,10.0,1,7.85
84.81,3.9,22394.3,83.73,10.0,1,7.85
85.59,3.888,22337.2,83.85,10.0,1,7.85
86.37,3.877,22290.8,84.0,10.0,1,7.85
87.15,3.861,22225.3,84.14,10.0,1,7.85
87.92,3.845,22148.6,84.26,10.0,1,7.85
88.7,3.828,22082.6,84.38,10.0,1,7.85
89.48,3.818,22034.1,84.53,10.0,1,7.85
90.26,3.803,21977.5,84.68,10.0,1,7.85
91.03,3.79,21911.2,84.8,10.0,1,7.85
91.81,3.777,21855.8,84.9,10.0,1,7.85
92.59,3.764,21803.3,85.02,10.0,1,7.85
93.36,3.748,21739.3,85.19,10.0,1,7.85
94.14,3.731,21666.0,85.31,10.0,1,7.85
94.92,3.719,21612.7,85.42,10.0,1,7.85
95.7,3.702,21544.2,85.55,10.0,1,7.85
96.47,3.685,21470.4,85.73,10.0,1,7.85
97.25,3.666,21393.3,85.86,10.0,1,7.85
98.03,3.65,21326.5,85.97,10.0,1,7.85
98.81,3.636,21266.0,86.11,10.0,1,7.85
99.58,3.62,21194.5,86.27,10.0,1,7.85
100.36,3.609,21138.8,86.39,10.0,1,7.85
101.14,3.593,21068.0,86.5,10.0,1,7.85
101.91,3.579,21008.1,86.63,10.0,1,7.85
102.69,3.562,20938.5,86.77,10.0,1,7.85
103.47,3.547,20888.2,86.88,10.0,1,7.85
104.25,3.531,20814.7,86.99,10.0,1,7.85
105.02,3.513,20733.6,87.13,10.0,1,7.85
105.8,3.501,20662.2,87.28,10.0,1,7.85
106.58,3.485,20586.9,87.4,10.0,1,7.85
107.36,3.47,20521.0,87.51,10.0,1,7.85
108.13,3.452,20447.1,87.66,10.0,1,7.85
108.91,3.436,20382.0,87.81,10.0,1,7.85
109.69,3.417,20307.7,87.93,10.0,1,7.85
110.46,3.4,20238.3,88.05,10.0,1,7.85
111.24,3.38,20159.0,88.21,10.0,1,7.85
112.02,3.368,20098.8,88.33,10.0,1,7.85
112.8,3.349,20027.6,88.44,10.0,1,7.85
113.57,3.331,19946.9,88.57,10.0,1,7.85
114.35,3.317,19885.4,88.73,10.0,1,7.85
115.13,3.299,19810.4,88.85,10.0,1,7.85
115.91,3.285,19732.7,88.96,10.0,1,7.85
116.68,3.269,19668.8,89.09,10.0,1,7.85
117.46,3.252,19589.9,89.26,10.0,1,7.85
118.24,3.237,19524.4,89.39,10.0,1,7.85
119.01,3.22,19453.2,89.5,10.0,1,7.85
119.79,3.203,19375.7,89.64,10.0,1,7.85
120.57,3.189,19314.2,89.81,10.0,1,7.85
121.35,3.175,19247.0,89.96,10.0,1,7.85
122.12,3.16,19173.9,90.06,10.0,1,7.85
122.9,3.146,19115.1,90.18,10.0,1,7.85
123.68,3.13,19041.7,90.33,10.0,1,7.85
124.46,3.116,18992.8,90.46,10.0,1,7.85
125.23,3.101,18921.2,90.57,10.0,1,7.85
126.01,3.085,18844.2,90.68,10.0,1,7.85
126.79,3.072,18784.3,90.84,10.0,1,7.85
127.56,3.058,18722.4,90.97,10.0,1,7.85
128.34,3.045,18660.1,91.08,10.0,1,7.85
129.12,3.033,18604.8,91.21,10.0,1,7.85
129.9,3.017,18525.6,91.37,10.0,1,7.85
130.67,3.006,18469.4,91.49,10.0,1,7.85
131.45,2.994,18413.4,91.61,10.0,1,7.85
132.23,2.982,18351.2,91.75,10.0,1,7.85
133.01,2.973,18297.5,91.9,10.0,1,7.85
133.78,2.959,18233.3,92.01,10.0,1,7.85
134.56,2.944,18163.3,92.12,10.0,1,7.85
135.34,2.931,18107.1,92.27,10.0,1,7.85
136.11,2.918,18053.3,92.41,10.0,1,7.85
136.89,2.909,17995.0,92.52,10.0,1,7.85
137.67,2.9,17946.1,92.62,10.0,1,7.85
138.45,2.889,17882.8,92.78,10.0,1,7.85
139.22,2.879,17825.0,92.92,10.0,1,7.85
140.0,2.868,17780.1,93.04,10.0,1,7.85
140.78,2.858,17728.1,93.16,10.0,1,7.85
141.56,2.846,17677.8,93.29,10.0,1,7.85
142.33,2.837,17636.2,93.42,10.0,1,7.85
143.11,2.826,17585.5,93.55,10.0,1,7.85
143.89,2.818,17539.1,93.68,10.0,1,7.85
144.66,2.809,17487.3,93.81,10.0,1,7.85
145.44,2.799,17439.1,93.94,10.0,1,7.85
146.22,2.788,17389.9,94.06,10.0,1,7.85
147.0,2.778,17355.7,94.18,10.0,1,7.85
147.77,2.766,17305.6,94.32,10.0,1,7.85
148.55,2.756,17245.9,94.45,10.0,1,7.85
149.33,2.75,17191.4,94.57,10.0,1,7.85
150.11,2.746,17143.4,94.7,10.0,1,7.85
150.88,2.738,17095.3,94.85,10.0,1,7.85
151.66,2.725,17042.7,94.98,10.0,1,7.85
152.44,2.709,16989.2,95.1,10.0,1,7.85
153.21,2.7,16945.2,95.22,10.0,1,7.85
153.99,2.695,16910.3,95.37,10.0,1,7.85
154.77,2.688,16870.6,95.5,10.0,1,7.85
155.55,2.678,16831.6,95.61,10.0,1,7.85
156.32,2.668,16787.2,95.73,10.0,1,7.85
157.1,2.658,16740.9,95.87,10.0,1,7.85
157.88,2.647,16693.2,95.99,10.0,1,7.85
158.66,2.637,16646.5,96.12,10.0,1,7.85
159.43,2.631,16616.5,96.24,10.0,1,7.85
160.21,2.626,16582.1,96.39,10.0,1,7.85
160.99,2.62,16546.3,96.52,10.0,1,7.85
161.76,2.61,16488.4,96.65,10.0,1,7.85
162.54,2.6,16441.7,96.78,10.0,1,7.85
163.32,2.593,16408.3,96.92,10.0,1,7.85
164.1,2.584,16367.9,97.04,10.0,1,7.85
164.87,2.577,16340.8,97.17,10.0,1,7.85
165.65,2.569,16299.6,97.3,10.0,1,7.85
166.43,2.56,16268.8,97.43,10.0,1,7.85
167.21,2.55,16221.3,97.55,10.0,1,7.85
167.98,2.542,16190.9,97.67,10.0,1,7.85
168.76,2.537,16160.8,97.82,10.0,1,7.85
169.54,2.528,16121.2,97.94,10.0,1,7.85
170.31,2.518,16078.5,98.07,10.0,1,7.85
171.09,2.513,16042.0,98.2,10.0,1,7.85
171.87,2.507,16001.8,98.35,10.0,1,7.85
172.65,2.5,15955.5,98.48,10.0,1,7.85
173.42,2.49,15904.3,98.6,10.0,1,7.85
174.2,2.485,15883.2,98.72,10.0,1,7.85
174.98,2.478,15860.1,98.87,10.0,1,7.85
175.76,2.472,15835.5,99.0,10.0,1,7.85
176.53,2.466,15793.2,99.12,10.0,1,7.85
177.31,2.462,15766.1,99.24,10.0,1,7.85
178.09,2.453,15715.2,99.37,10.0,1,7.85
178.86,2.445,15670.5,99.5,10.0,1,7.85
179.64,2.438,15643.4,99.62,10.0,1,7.85
180.42,2.434,15626.1,99.74,10.0,1,7.85
181.2,2.427,15597.1,99.89,10.0,1,7.85
181.97,2.422,15558.7,100.02,10.0,1,7.85
182.75,2.414,15521.3,100.16,10.0,1,7.85
183.53,2.406,15490.9,100.3,10.0,1,7.85
184.31,2.396,15445.5,100.44,10.0,1,7.85
185.08,2.39,15418.5,100.6,10.0,1,7.85
185.86,2.383,15382.3,100.72,10.0,1,7.85
186.64,2.38,15368.5,100.86,10.0,1,7.85
187.41,2.375,15338.9,100.97,10.0,1,7.85
188.19,2.371,15310.2,101.1,10.0,1,7.85
188.97,2.366,15282.8,101.22,10.0,1,7.85
189.75,2.359,15253.8,101.36,10.0,1,7.85
190.52,2.353,15228.6,101.47,10.0,1,7.85
191.3,2.347,15194.9,101.6,10.0,1,7.85
192.08,2.343,15174.5,101.73,10.0,1,7.85
192.86,2.337,15145.9,101.87,10.0,1,7.85
193.63,2.333,15116.2,101.99,10.0,1,7.85
194.41,2.325,15075.4,102.12,10.0,1,7.85
195.19,2.318,15034.1,102.25,10.0,1,7.85
195.96,2.313,15006.9,102.39,10.0,1,7.85
196.74,2.309,14991.6,102.52,10.0,1,7.85
197.52,2.302,14959.7,102.65,10.0,1,7.85
198.3,2.298,14941.1,102.77,10.0,1,7.85
199.07,2.294,14932.0,102.91,10.0,1,7.85
199.85,2.29,14919.1,103.04,10.0,1,7.85
200.63,2.286,14887.6,103.16,10.0,1,7.85
201.41,2.279,14853.3,103.28,10.0,1,7.85
202.18,2.27,14787.1,103.41,10.0,1,7.85
202.96,2.264,14760.4,103.55,10.0,1,7.85
203.74,2.261,14747.9,103.67,10.0,1,7.85
204.51,2.255,14720.4,103.81,10.0,1,7.85
205.29,2.252,14698.6,103.93,10.0,1,7.85
206.07,2.246,14673.4,104.07,10.0,1,7.85
206.85,2.242,14642.6,104.19,10.0,1,7.85
207.62,2.237,14623.2,104.32,10.0,1,7.85
208.4,2.232,14598.3,104.43,10.0,1,7.85
209.18,2.226,14568.0,104.57,10.0,1,7.85
209.96,2.222,14554.5,104.69,10.0,1,7.85
210.73,2.218,14527.1,104.83,10.0,1,7.85
211.51,2.214,14503.9,104.95,10.0,1,7.85
212.29,2.211,14483.0,105.09,10.0,1,7.85
213.06,2.204,14451.1,105.21,10.0,1,7.85
213.84,2.198,14426.9,105.36,10.0,1,7.85
214.62,2.197,14419.9,105.48,10.0,1,7.85
215.4,2.19,14389.3,105.62,10.0,1,7.85
216.17,2.19,14376.9,105.74,10.0,1,7.85
216.95,2.174,14319.4,105.89,10.0,1,7.85
217.73,2.17,14281.5,106.01,10.0,1,7.85
218.51,2.167,14257.0,106.14,10.0,1,7.85
219.28,2.169,14251.2,106.26,10.0,1,7.85
220.06,2.165,14231.9,106.4,10.0,1,7.85
220.84,2.161,14217.8,106.53,10.0,1,7.85
221.61,2.157,14204.3,106.65,10.0,1,7.85
222.39,2.156,14196.3,106.78,10.0,1,7.85
